Year,Distance,Owner,Fuel,Location,Drive,Type,Price,Brand,Model
2018.0,48451,1,DIESEL,MH-03,Manual,SUV,930000,Maruti,Vitara Brezza
2022.0,12699,1,PETROL,TN-07,Manual,HatchBack,732000,Maruti,IGNIS
2018.0,24385,1,PETROL,GJ-27,Manual,Sedan,748000,Maruti,Ciaz
2016.0,71337,1,PETROL,GJ-06,Manual,HatchBack,451000,Hyundai,Grand i10
2016.0,83219,1,PETROL,MH-02,Manual,HatchBack,270000,Renault,Kwid
2016.0,43655,1,PETROL,KA-03,Manual,HatchBack,630000,Maruti,Baleno
2014.0,45165,2,PETROL,PB-02,Manual,Sedan,779000,Honda,City
2022.0,7125,1,PETROL,MH-04,Manual,SUV,725000,Tata,Other
2018.0,32209,1,PETROL,MH-03,Automatic,SUV,1188000,Hyundai,Creta
2019.0,85969,1,CNG,DL-9C,Manual,HatchBack,496000,Maruti,New Wagon-R
2019.0,31286,1,PETROL,TS-09,Automatic,HatchBack,690000,Maruti,Swift
2021.0,30088,1,PETROL,TS-07,Manual,HatchBack,761000,Volkswagen,Polo
2015.0,61108,1,PETROL,CH-01,Manual,HatchBack,281000,Maruti,Alto K10
2016.0,93415,1,DIESEL,GJ-27,Manual,SUV,608000,Renault,Duster
2017.0,57971,2,PETROL,UP-14,Manual,HatchBack,260000,Maruti,Alto 800
2014.0,76697,3,DIESEL,TN-02,Manual,HatchBack,520000,Hyundai,Elite i20
2020.0,11066,1,PETROL,UP-16,Manual,SUV,1090000,Hyundai,VENUE
2018.0,36242,1,DIESEL,UP-14,Automatic,SUV,794000,Mahindra,Other
2011.0,46494,2,PETROL,WB-20,Manual,HatchBack,207000,Hyundai,i20
2020.0,71019,2,DIESEL,TS-08,Manual,Sedan,641000,Maruti,Dzire
2020.0,14282,1,PETROL,DL-12,Automatic,SUV,691000,Renault,TRIBER
2019.0,42739,2,PETROL,TN-09,Manual,HatchBack,515000,Tata,Tiago
2011.0,16153,1,PETROL,DL-9C,Manual,Sedan,873000,Maruti,Swift Dzire
2022.0,5787,1,PETROL,GJ-17,Manual,HatchBack,444000,Maruti,S PRESSO
2012.0,63585,1,PETROL,HR-26,Manual,HatchBack,222000,Hyundai,i10
2013.0,61132,1,PETROL,AP-29,Manual,HatchBack,320000,Maruti,Wagon R
2015.0,46836,1,PETROL,MP-09,Manual,Sedan,624000,Honda,City
2014.0,52802,2,PETROL,KA-05,Manual,HatchBack,514000,Maruti,Swift
2019.0,47613,1,PETROL,KA-03,Manual,HatchBack,767000,Volkswagen,Polo
2015.0,88880,1,PETROL,MP-04,Manual,HatchBack,429000,Hyundai,Grand i10
2015.0,66467,1,PETROL,MH-02,Automatic,Lux_sedan,1122000,Toyota,Other
2021.0,42075,1,PETROL,DL-7C,Manual,Sedan,619000,Hyundai,Verna
2015.0,44348,1,PETROL,TS-08,Automatic,Sedan,746000,Maruti,Ciaz
2018.0,32875,1,PETROL,GJ-06,Manual,HatchBack,579000,Maruti,Swift
2018.0,49538,1,DIESEL,UP-14,Manual,SUV,1056000,Hyundai,Creta
2015.0,39584,1,PETROL,MH-47,Manual,SUV,807400,Hyundai,Creta
2016.0,73338,1,PETROL,GJ-05,Manual,Sedan,632000,Honda,City
2015.0,66362,3,PETROL,HR-26,Automatic,Lux_sedan,860000,Toyota,Corolla Altis
